Mirna,Target,energy,gap_l,gap_r
hsa-let-7e-5p,QKI,-20.33,7975,7995
hsa-let-7e-5p,QKI,-15.83,9322,9344
hsa-let-7e-5p,QKI,-20.33,3302,3322
hsa-let-7e-5p,QKI,-15.83,4649,4671
hsa-let-7e-5p,QKI,-20.33,3278,3298
hsa-let-7e-5p,QKI,-15.83,4625,4647
hsa-miR-15a-5p,TNKS2,-22.08,1388,1414
hsa-miR-15a-5p,SOX5,-20.82,1421,1440
hsa-miR-15a-5p,SOX5,-15.37,3493,3513
hsa-miR-15a-5p,SOX5,-14.52,1347,1368
hsa-miR-15a-5p,SOX5,-20.82,1496,1515
hsa-miR-15a-5p,SOX5,-15.37,3244,3264
hsa-miR-15a-5p,SOX5,-14.52,1422,1443
hsa-miR-15a-5p,SOX5,-20.82,1212,1231
hsa-miR-15a-5p,SOX5,-15.37,3284,3304
hsa-miR-15a-5p,SOX5,-14.52,1138,1159
hsa-miR-15a-5p,SOX5,-20.82,1188,1207
hsa-miR-15a-5p,SOX5,-15.37,3260,3280
hsa-miR-15a-5p,SOX5,-14.52,1114,1135
hsa-miR-15a-5p,SOX5,-15.37,2060,2080
hsa-miR-15a-5p,QKI,-15.13,14468,14489
hsa-miR-15a-5p,QKI,-15.13,5201,5222
hsa-miR-15a-5p,QKI,-12,8987,9008
hsa-miR-15a-5p,QKI,-15.13,13521,13542
hsa-miR-15a-5p,QKI,-15.13,4254,4275
hsa-miR-15a-5p,QKI,-12,8040,8061
hsa-miR-15a-5p,QKI,-15.13,12242,12263
hsa-miR-15a-5p,QKI,-15.13,2975,2996
hsa-miR-15a-5p,QKI,-12,6761,6782
hsa-miR-15a-5p,QKI,-15.13,7569,7590
hsa-miR-15a-5p,QKI,-12,2088,2109
hsa-miR-15a-5p,QKI,-15.13,7545,7566
hsa-miR-15a-5p,QKI,-12,2064,2085
hsa-miR-16-5p,SOX5,-17.16,1421,1440
hsa-miR-16-5p,SOX5,-13.49,1347,1368
hsa-miR-16-5p,SOX5,-12.94,3492,3513
hsa-miR-16-5p,SOX5,-17.16,1496,1515
hsa-miR-16-5p,SOX5,-13.49,1422,1443
hsa-miR-16-5p,SOX5,-12.94,3243,3264
hsa-miR-16-5p,SOX5,-17.16,1212,1231
hsa-miR-16-5p,SOX5,-13.49,1138,1159
hsa-miR-16-5p,SOX5,-12.94,3283,3304
hsa-miR-16-5p,SOX5,-17.16,1188,1207
hsa-miR-16-5p,SOX5,-13.49,1114,1135
hsa-miR-16-5p,SOX5,-12.94,3259,3280
hsa-miR-16-5p,SOX5,-12.94,2059,2080
hsa-miR-16-5p,QKI,-14.07,5198,5222
hsa-miR-16-5p,QKI,-14.78,8986,9008
hsa-miR-16-5p,QKI,-16.5,14468,14489
hsa-miR-16-5p,QKI,-14.07,4251,4275
hsa-miR-16-5p,QKI,-14.78,8039,8061
hsa-miR-16-5p,QKI,-16.5,13521,13542
hsa-miR-16-5p,QKI,-14.07,2972,2996
hsa-miR-16-5p,QKI,-14.78,6760,6782
hsa-miR-16-5p,QKI,-16.5,12242,12263
hsa-miR-16-5p,QKI,-14.78,2087,2109
hsa-miR-16-5p,QKI,-16.5,7569,7590
hsa-miR-16-5p,QKI,-14.78,2063,2085
hsa-miR-16-5p,QKI,-16.5,7545,7566
hsa-miR-16-5p,PTEN,-15.15,6547,6568
hsa-miR-16-5p,PTEN,-16.29,3181,3202
hsa-miR-16-5p,PTEN,-18.19,6649,6669
hsa-miR-16-5p,PTEN,-18.97,3262,3284
hsa-miR-16-5p,PTEN,-15.15,6661,6682
hsa-miR-16-5p,PTEN,-16.29,3295,3316
hsa-miR-16-5p,PTEN,-18.19,6763,6783
hsa-miR-16-5p,PTEN,-18.97,3376,3398
hsa-miR-17-5p,RB1,-9.39,3821,3843
hsa-miR-17-5p,TNKS2,-16.64,3987,4009
hsa-miR-17-5p,QKI,-21.07,3123,3148
hsa-miR-17-5p,QKI,-13.76,1897,1919
hsa-miR-17-5p,QKI,-11.33,2932,2953
hsa-miR-17-5p,QKI,-13.58,3832,3856
hsa-miR-17-5p,QKI,-21.07,2176,2201
hsa-miR-17-5p,QKI,-11.33,1985,2006
hsa-miR-17-5p,QKI,-13.58,2885,2909
hsa-miR-17-5p,QKI,-13.58,1606,1630
hsa-miR-17-5p,PTEN,-8.69,2500,2522
hsa-miR-17-5p,PTEN,-16.12,2883,2905
hsa-miR-17-5p,PTEN,-8.69,2614,2636
hsa-miR-17-5p,PTEN,-16.12,2997,3019
hsa-miR-18a-5p,KLF6,-20.47,2998,3019
hsa-miR-18a-5p,KLF6,-21.12,966,991
hsa-miR-18a-5p,KLF6,-16.1,1443,1465
hsa-miR-18a-5p,KLF6,-18.21,4281,4305
hsa-miR-18a-5p,KLF6,-20.47,3000,3021
hsa-miR-18a-5p,KLF6,-21.12,968,993
hsa-miR-18a-5p,KLF6,-16.1,1445,1467
hsa-miR-18a-5p,KLF6,-18.21,4283,4307
hsa-miR-18a-5p,KLF6,-20.47,3124,3145
hsa-miR-18a-5p,KLF6,-21.12,1092,1117
hsa-miR-18a-5p,KLF6,-16.1,1569,1591
hsa-miR-18a-5p,KLF6,-18.21,4407,4431
hsa-miR-18a-5p,QKI,-17.43,1648,1670
hsa-miR-18a-5p,PTEN,-16.28,8512,8532
hsa-miR-18a-5p,PTEN,-16.28,8626,8646
hsa-miR-19a-3p,SOX5,-9.63,3702,3726
hsa-miR-19a-3p,SOX5,-9.63,3453,3477
hsa-miR-19a-3p,SOX5,-9.63,3493,3517
hsa-miR-19a-3p,SOX5,-9.63,3469,3493
hsa-miR-19a-3p,SOX5,-9.63,2269,2293
hsa-miR-19a-3p,NFIA,-11.01,3755,3776
hsa-miR-19a-3p,NFIA,-10.44,3156,3178
hsa-miR-19a-3p,NFIA,-11.88,5404,5426
hsa-miR-19a-3p,NFIA,-8.44,3289,3311
hsa-miR-19a-3p,NFIA,-11.01,3644,3665
hsa-miR-19a-3p,NFIA,-11.73,57,81
hsa-miR-19a-3p,NFIA,-10.44,3045,3067
hsa-miR-19a-3p,NFIA,-11.88,5293,5315
hsa-miR-19a-3p,NFIA,-8.44,3178,3200
hsa-miR-19a-3p,NFIA,-11.01,3911,3932
hsa-miR-19a-3p,NFIA,-10.44,3312,3334
hsa-miR-19a-3p,NFIA,-11.88,5560,5582
hsa-miR-19a-3p,NFIA,-8.44,3445,3467
hsa-miR-19a-3p,NFIA,-11.01,3819,3840
hsa-miR-19a-3p,NFIA,-10.44,3220,3242
hsa-miR-19a-3p,NFIA,-11.88,5468,5490
hsa-miR-19a-3p,NFIA,-8.44,3353,3375
hsa-miR-19a-3p,KLF6,-17.61,50,77
hsa-miR-19a-3p,QKI,-15.57,3521,3542
hsa-miR-19a-3p,QKI,-16.24,11712,11733
hsa-miR-19a-3p,QKI,-14.59,3841,3862
hsa-miR-19a-3p,QKI,-16.51,5575,5596
hsa-miR-19a-3p,QKI,-15.6,7813,7835
hsa-miR-19a-3p,QKI,-11.75,7147,7169
hsa-miR-19a-3p,QKI,-11.93,7522,7544
hsa-miR-19a-3p,QKI,-10.39,4601,4624
hsa-miR-19a-3p,QKI,-15.57,2574,2595
hsa-miR-19a-3p,QKI,-16.24,10765,10786
hsa-miR-19a-3p,QKI,-14.59,2894,2915
hsa-miR-19a-3p,QKI,-16.51,4628,4649
hsa-miR-19a-3p,QKI,-15.6,6866,6888
hsa-miR-19a-3p,QKI,-11.75,6200,6222
hsa-miR-19a-3p,QKI,-11.93,6575,6597
hsa-miR-19a-3p,QKI,-10.39,3654,3677
hsa-miR-19a-3p,QKI,-16.24,9486,9507
hsa-miR-19a-3p,QKI,-14.59,1615,1636
hsa-miR-19a-3p,QKI,-16.51,3349,3370
hsa-miR-19a-3p,QKI,-15.6,5587,5609
hsa-miR-19a-3p,QKI,-11.75,4921,4943
hsa-miR-19a-3p,QKI,-11.93,5296,5318
hsa-miR-19a-3p,QKI,-10.39,2375,2398
hsa-miR-19a-3p,QKI,-16.24,4813,4834
hsa-miR-19a-3p,QKI,-16.24,4789,4810
hsa-miR-19a-3p,H19,-14.15,2346,2372
hsa-miR-19a-3p,IGF1,-12.23,844,866
hsa-miR-19a-3p,IGF1,-10.05,1085,1106
hsa-miR-19a-3p,IGF1,-12.23,893,915
hsa-miR-19a-3p,IGF1,-10.05,1134,1155
hsa-miR-19a-3p,IGF1,-12.23,727,749
hsa-miR-19a-3p,IGF1,-10.05,968,989
hsa-miR-19a-3p,PTEN,-17.97,3451,3471
hsa-miR-19a-3p,PTEN,-11.08,4478,4502
hsa-miR-19a-3p,PTEN,-6.85,2639,2661
hsa-miR-19a-3p,PTEN,-17.97,3565,3585
hsa-miR-19a-3p,PTEN,-11.08,4592,4616
hsa-miR-19a-3p,PTEN,-6.85,2753,2775
hsa-miR-20a-5p,RB1,-9.51,3821,3843
hsa-miR-20a-5p,TNKS2,-19.71,3987,4009
hsa-miR-20a-5p,QKI,-19.2,3123,3148
hsa-miR-20a-5p,QKI,-19.13,4152,4174
hsa-miR-20a-5p,QKI,-14.2,3834,3856
hsa-miR-20a-5p,QKI,-16.26,1897,1919
hsa-miR-20a-5p,QKI,-12.54,13053,13076
hsa-miR-20a-5p,QKI,-19.2,2176,2201
hsa-miR-20a-5p,QKI,-19.13,3205,3227
hsa-miR-20a-5p,QKI,-14.2,2887,2909
hsa-miR-20a-5p,QKI,-12.54,12106,12129
hsa-miR-20a-5p,QKI,-19.13,1926,1948
hsa-miR-20a-5p,QKI,-14.2,1608,1630
hsa-miR-20a-5p,QKI,-12.54,10827,10850
hsa-miR-20a-5p,QKI,-12.54,6154,6177
hsa-miR-20a-5p,QKI,-12.54,6130,6153
hsa-miR-20a-5p,PTEN,-8.57,2494,2522
hsa-miR-20a-5p,PTEN,-15.72,2883,2905
hsa-miR-20a-5p,PTEN,-8.57,2608,2636
hsa-miR-20a-5p,PTEN,-15.72,2997,3019
hsa-miR-21-5p,SOX5,-18.98,2837,2860
hsa-miR-21-5p,SOX5,-18.98,2588,2611
hsa-miR-21-5p,SOX5,-18.98,2628,2651
hsa-miR-21-5p,SOX5,-18.98,2604,2627
hsa-miR-21-5p,SOX5,-18.98,1404,1427
hsa-miR-21-5p,NFIA,-11.21,3030,3051
hsa-miR-21-5p,NFIA,-10.55,6260,6281
hsa-miR-21-5p,NFIA,-11.21,2919,2940
hsa-miR-21-5p,NFIA,-10.55,6149,6170
hsa-miR-21-5p,NFIA,-11.21,3186,3207
hsa-miR-21-5p,NFIA,-10.55,6416,6437
hsa-miR-21-5p,NFIA,-11.21,3094,3115
hsa-miR-21-5p,NFIA,-10.55,6324,6345
hsa-miR-21-5p,KLF6,-12.31,1691,1710
hsa-miR-21-5p,KLF6,-12.31,1693,1712
hsa-miR-21-5p,KLF6,-12.31,1817,1836
hsa-miR-22-3p,TNKS2,-20.88,1132,1153
hsa-miR-22-3p,TNKS2,-14.47,3564,3585
hsa-miR-22-3p,TNKS2,-18.52,5061,5082
hsa-miR-22-3p,KLF6,-23.35,3464,3484
hsa-miR-22-3p,KLF6,-23.35,3466,3486
hsa-miR-22-3p,KLF6,-23.35,3590,3610
hsa-miR-22-3p,PTEN,-14.62,2918,2939
hsa-miR-22-3p,PTEN,-17.2,5602,5625
hsa-miR-22-3p,PTEN,-16.79,6960,6983
hsa-miR-22-3p,PTEN,-14.62,3032,3053
hsa-miR-22-3p,PTEN,-15.18,1516,1537
hsa-miR-22-3p,PTEN,-17.2,5716,5739
hsa-miR-22-3p,PTEN,-16.79,7074,7097
hsa-miR-23a-3p,TNKS2,-10.68,3909,3929
hsa-miR-23a-3p,NFIA,-10.45,3886,3906
hsa-miR-23a-3p,NFIA,-15.05,3782,3803
hsa-miR-23a-3p,NFIA,-13.51,8355,8375
hsa-miR-23a-3p,NFIA,-8.38,6971,6994
hsa-miR-23a-3p,NFIA,-10.45,3775,3795
hsa-miR-23a-3p,NFIA,-15.05,3671,3692
hsa-miR-23a-3p,NFIA,-13.51,8244,8264
hsa-miR-23a-3p,NFIA,-8.38,6860,6883
hsa-miR-23a-3p,NFIA,-16.33,309,329
hsa-miR-23a-3p,NFIA,-10.45,4042,4062
hsa-miR-23a-3p,NFIA,-15.05,3938,3959
hsa-miR-23a-3p,NFIA,-13.51,8511,8531
hsa-miR-23a-3p,NFIA,-8.38,7127,7150
hsa-miR-23a-3p,NFIA,-10.45,3950,3970
hsa-miR-23a-3p,NFIA,-15.05,3846,3867
hsa-miR-23a-3p,NFIA,-13.51,8419,8439
hsa-miR-23a-3p,NFIA,-8.38,7035,7058
hsa-miR-23a-3p,QKI,-14.33,14862,14882
hsa-miR-23a-3p,QKI,-10.15,7311,7331
hsa-miR-23a-3p,QKI,-8.05,10230,10250
hsa-miR-23a-3p,QKI,-14.33,13915,13935
hsa-miR-23a-3p,QKI,-10.15,6364,6384
hsa-miR-23a-3p,QKI,-8.05,9283,9303
hsa-miR-23a-3p,QKI,-14.33,12636,12656
hsa-miR-23a-3p,QKI,-10.15,5085,5105
hsa-miR-23a-3p,QKI,-8.05,8004,8024
hsa-miR-23a-3p,QKI,-14.33,7963,7983
hsa-miR-23a-3p,QKI,-8.05,3331,3351
hsa-miR-23a-3p,QKI,-14.33,7939,7959
hsa-miR-23a-3p,QKI,-8.05,3307,3327
hsa-miR-23a-3p,PTEN,-15.73,4509,4529
hsa-miR-23a-3p,PTEN,-11.37,6983,7003
hsa-miR-23a-3p,PTEN,-10.17,3838,3858
hsa-miR-23a-3p,PTEN,-13.52,5156,5175
hsa-miR-23a-3p,PTEN,-12.8,5613,5633
hsa-miR-23a-3p,PTEN,-15.73,4623,4643
hsa-miR-23a-3p,PTEN,-11.37,7097,7117
hsa-miR-23a-3p,PTEN,-10.17,3952,3972
hsa-miR-23a-3p,PTEN,-13.52,5270,5289
hsa-miR-23a-3p,PTEN,-12.8,5727,5747
hsa-miR-25-3p,KLF6,-15.56,1628,1649
hsa-miR-25-3p,KLF6,-15.56,1630,1651
hsa-miR-25-3p,KLF6,-15.56,1754,1775
hsa-miR-25-3p,NFIA,-18.27,2701,2722
hsa-miR-25-3p,NFIA,-10.85,3387,3408
hsa-miR-25-3p,NFIA,-18.27,2590,2611
hsa-miR-25-3p,NFIA,-10.85,3276,3297
hsa-miR-25-3p,NFIA,-18.27,2857,2878
hsa-miR-25-3p,NFIA,-10.85,3543,3564
hsa-miR-25-3p,NFIA,-18.27,2765,2786
hsa-miR-25-3p,NFIA,-10.85,3451,3472
hsa-miR-25-3p,PTEN,-9.84,6231,6253
hsa-miR-25-3p,PTEN,-12.94,5085,5109
hsa-miR-25-3p,PTEN,-19.33,1413,1433
hsa-miR-25-3p,PTEN,-9.84,6345,6367
hsa-miR-25-3p,PTEN,-12.94,5199,5223
hsa-miR-25-3p,PTEN,-19.33,1368,1388
hsa-miR-26b-5p,TNKS2,-20.5,4838,4857
hsa-miR-26b-5p,QKI,-8.29,5024,5044
hsa-miR-26b-5p,QKI,-19.4,11636,11656
hsa-miR-26b-5p,QKI,-10.79,16062,16081
hsa-miR-26b-5p,QKI,-8.29,4077,4097
hsa-miR-26b-5p,QKI,-19.4,10689,10709
hsa-miR-26b-5p,QKI,-10.79,15115,15134
hsa-miR-26b-5p,QKI,-8.29,2798,2818
hsa-miR-26b-5p,QKI,-19.4,9410,9430
hsa-miR-26b-5p,QKI,-10.79,13836,13855
hsa-miR-26b-5p,QKI,-19.4,4737,4757
hsa-miR-26b-5p,QKI,-10.79,9163,9182
hsa-miR-26b-5p,QKI,-19.4,4713,4733
hsa-miR-26b-5p,QKI,-10.79,9139,9158
hsa-miR-26b-5p,PTEN,-19.2,4847,4869
hsa-miR-26b-5p,PTEN,-17.15,3488,3511
hsa-miR-26b-5p,PTEN,-11.71,6034,6050
hsa-miR-26b-5p,PTEN,-14.09,7789,7810
hsa-miR-26b-5p,PTEN,-19.2,4961,4983
hsa-miR-26b-5p,PTEN,-17.15,3602,3625
hsa-miR-26b-5p,PTEN,-11.71,6148,6164
hsa-miR-26b-5p,PTEN,-14.09,7903,7924
hsa-miR-27a-3p,NFIA,-16.29,4285,4307
hsa-miR-27a-3p,NFIA,-16.29,4174,4196
hsa-miR-27a-3p,NFIA,-16.29,4441,4463
hsa-miR-27a-3p,NFIA,-16.29,4349,4371
hsa-miR-27a-3p,KLF6,-15.46,919,939
hsa-miR-27a-3p,KLF6,-18.99,733,754
hsa-miR-27a-3p,KLF6,-15.46,1045,1065
hsa-miR-27a-3p,QKI,-19.26,8841,8861
hsa-miR-27a-3p,QKI,-14.19,9808,9828
hsa-miR-27a-3p,QKI,-12.4,5093,5112
hsa-miR-27a-3p,QKI,-17.87,1005,1024
hsa-miR-27a-3p,QKI,-19.26,7894,7914
hsa-miR-27a-3p,QKI,-14.19,8861,8881
hsa-miR-27a-3p,QKI,-12.4,4146,4165
hsa-miR-27a-3p,QKI,-19.26,6615,6635
hsa-miR-27a-3p,QKI,-14.19,7582,7602
hsa-miR-27a-3p,QKI,-12.4,2867,2886
hsa-miR-27a-3p,QKI,-19.26,1942,1962
hsa-miR-27a-3p,QKI,-14.19,2909,2929
hsa-miR-27a-3p,QKI,-19.26,1918,1938
hsa-miR-27a-3p,QKI,-14.19,2885,2905
hsa-miR-27a-3p,IGF1,-21.33,1898,1917
hsa-miR-27a-3p,IGF1,-21.33,1947,1966
hsa-miR-27a-3p,IGF1,-21.33,1781,1800
hsa-miR-28-5p,QKI,-18.14,9665,9685
hsa-miR-28-5p,QKI,-18.14,8718,8738
hsa-miR-28-5p,QKI,-18.14,7439,7459
hsa-miR-28-5p,QKI,-18.14,2766,2786
hsa-miR-28-5p,QKI,-18.14,2742,2762
hsa-miR-29a-3p,QKI,-24.45,4926,4950
hsa-miR-29a-3p,QKI,-15.36,2596,2619
hsa-miR-29a-3p,QKI,-24.45,3979,4003
hsa-miR-29a-3p,QKI,-15.36,1649,1672
hsa-miR-29a-3p,QKI,-24.45,2700,2724
hsa-miR-29a-3p,NFIA,-17.01,2084,2105
hsa-miR-29a-3p,NFIA,-16.37,6940,6959
hsa-miR-29a-3p,NFIA,-15.14,2929,2949
hsa-miR-29a-3p,NFIA,-16.48,4040,4061
hsa-miR-29a-3p,NFIA,-17.01,1973,1994
hsa-miR-29a-3p,NFIA,-16.37,6829,6848
hsa-miR-29a-3p,NFIA,-15.14,2818,2838
hsa-miR-29a-3p,NFIA,-16.48,3929,3950
hsa-miR-29a-3p,NFIA,-17.01,2240,2261
hsa-miR-29a-3p,NFIA,-16.37,7096,7115
hsa-miR-29a-3p,NFIA,-15.14,3085,3105
hsa-miR-29a-3p,NFIA,-16.48,4196,4217
hsa-miR-29a-3p,NFIA,-17.01,2148,2169
hsa-miR-29a-3p,NFIA,-16.37,7004,7023
hsa-miR-29a-3p,NFIA,-15.14,2993,3013
hsa-miR-29a-3p,NFIA,-16.48,4104,4125
hsa-miR-29a-3p,PTEN,-13.92,2904,2926
hsa-miR-29a-3p,PTEN,-13.82,3969,3991
hsa-miR-29a-3p,PTEN,-13.92,3018,3040
hsa-miR-29a-3p,PTEN,-13.82,4083,4105
hsa-miR-32-5p,KLF6,-22.44,1628,1649
hsa-miR-32-5p,KLF6,-22.44,1630,1651
hsa-miR-32-5p,KLF6,-22.44,1754,1775
hsa-miR-32-5p,NFIA,-15.82,2701,2722
hsa-miR-32-5p,NFIA,-15.82,2590,2611
hsa-miR-32-5p,NFIA,-15.82,2857,2878
hsa-miR-32-5p,NFIA,-15.82,2765,2786
hsa-miR-32-5p,PTEN,-14.72,6232,6253
hsa-miR-32-5p,PTEN,-13.7,5084,5109
hsa-miR-32-5p,PTEN,-13.84,8303,8324
hsa-miR-32-5p,PTEN,-14.2,3695,3714
hsa-miR-32-5p,PTEN,-14.72,6346,6367
hsa-miR-32-5p,PTEN,-13.7,5198,5223
hsa-miR-32-5p,PTEN,-13.84,8417,8438
hsa-miR-32-5p,PTEN,-14.2,3809,3828
hsa-miR-33a-5p,NFIA,-13.52,6920,6941
hsa-miR-33a-5p,NFIA,-11.15,6698,6716
hsa-miR-33a-5p,NFIA,-13.52,6809,6830
hsa-miR-33a-5p,NFIA,-11.15,6587,6605
hsa-miR-33a-5p,NFIA,-13.52,7076,7097
hsa-miR-33a-5p,NFIA,-11.15,6854,6872
hsa-miR-33a-5p,NFIA,-13.52,6984,7005
hsa-miR-33a-5p,NFIA,-11.15,6762,6780
hsa-miR-33a-5p,QKI,-10.15,9689,9708
hsa-miR-33a-5p,QKI,-10.15,8742,8761
hsa-miR-33a-5p,QKI,-10.15,7463,7482
hsa-miR-33a-5p,QKI,-10.15,2790,2809
hsa-miR-33a-5p,QKI,-10.15,2766,2785
hsa-miR-93-5p,TNKS2,-20.73,3987,4009
hsa-miR-93-5p,TNKS2,-19.91,5811,5832
hsa-miR-93-5p,QKI,-19.95,3126,3148
hsa-miR-93-5p,QKI,-20.3,4152,4174
hsa-miR-93-5p,QKI,-12.47,3832,3856
hsa-miR-93-5p,QKI,-15.59,4930,4952
hsa-miR-93-5p,QKI,-12.24,7682,7705
hsa-miR-93-5p,QKI,-8.77,13053,13076
hsa-miR-93-5p,QKI,-19.95,2179,2201
hsa-miR-93-5p,QKI,-20.3,3205,3227
hsa-miR-93-5p,QKI,-12.47,2885,2909
hsa-miR-93-5p,QKI,-15.59,3983,4005
hsa-miR-93-5p,QKI,-12.24,6735,6758
hsa-miR-93-5p,QKI,-8.77,12106,12129
hsa-miR-93-5p,QKI,-20.3,1926,1948
hsa-miR-93-5p,QKI,-12.47,1606,1630
hsa-miR-93-5p,QKI,-15.59,2704,2726
hsa-miR-93-5p,QKI,-12.24,5456,5479
hsa-miR-93-5p,QKI,-8.77,10827,10850
hsa-miR-93-5p,QKI,-8.77,6154,6177
hsa-miR-93-5p,QKI,-8.77,6130,6153
hsa-miR-93-5p,RB1,-9.39,3821,3843
hsa-miR-93-5p,PTEN,-9.86,2500,2522
hsa-miR-93-5p,PTEN,-20.43,4047,4069
hsa-miR-93-5p,PTEN,-9.86,2614,2636
hsa-miR-93-5p,PTEN,-20.43,4161,4183
hsa-miR-96-5p,QKI,-14.73,13482,13506
hsa-miR-96-5p,QKI,-20.52,7740,7764
hsa-miR-96-5p,QKI,-16.64,10680,10701
hsa-miR-96-5p,QKI,-14.73,12535,12559
hsa-miR-96-5p,QKI,-20.52,6793,6817
hsa-miR-96-5p,QKI,-16.64,9733,9754
hsa-miR-96-5p,QKI,-14.73,11256,11280
hsa-miR-96-5p,QKI,-20.52,5514,5538
hsa-miR-96-5p,QKI,-16.64,8454,8475
hsa-miR-96-5p,QKI,-14.73,6583,6607
hsa-miR-96-5p,QKI,-16.64,3781,3802
hsa-miR-96-5p,QKI,-14.73,6559,6583
hsa-miR-96-5p,QKI,-16.64,3757,3778
hsa-miR-96-5p,RB1,-14.23,717,741
hsa-miR-96-5p,SOX5,-18.85,3327,3349
hsa-miR-96-5p,SOX5,-12.65,2980,3003
hsa-miR-96-5p,SOX5,-18.85,3078,3100
hsa-miR-96-5p,SOX5,-12.65,2731,2754
hsa-miR-96-5p,SOX5,-18.85,3118,3140
hsa-miR-96-5p,SOX5,-12.65,2771,2794
hsa-miR-96-5p,SOX5,-18.85,3094,3116
hsa-miR-96-5p,SOX5,-12.65,2747,2770
hsa-miR-96-5p,SOX5,-18.85,1894,1916
hsa-miR-96-5p,SOX5,-12.65,1547,1570
hsa-miR-99a-5p,RB1,-23.24,4126,4153
hsa-miR-100-5p,RB1,-24.22,4126,4153
hsa-miR-106a-5p,TNKS2,-16.88,3987,4009
hsa-miR-106a-5p,QKI,-21.45,3123,3148
hsa-miR-106a-5p,QKI,-14,1897,1919
hsa-miR-106a-5p,QKI,-12.96,2932,2953
hsa-miR-106a-5p,QKI,-13.58,3832,3856
hsa-miR-106a-5p,QKI,-21.45,2176,2201
hsa-miR-106a-5p,QKI,-12.96,1985,2006
hsa-miR-106a-5p,QKI,-13.58,2885,2909
hsa-miR-106a-5p,QKI,-13.58,1606,1630
hsa-miR-106a-5p,RB1,-9.77,3821,3843
hsa-miR-106a-5p,PTEN,-9.07,2500,2522
hsa-miR-106a-5p,PTEN,-17.76,2883,2905
hsa-miR-106a-5p,PTEN,-9.07,2614,2636
hsa-miR-106a-5p,PTEN,-17.76,2997,3019
hsa-miR-107,NFIA,-18.45,2551,2571
hsa-miR-107,NFIA,-18.45,2440,2460
hsa-miR-107,NFIA,-18.45,2707,2727
hsa-miR-107,NFIA,-18.45,2615,2635
hsa-miR-107,KLF6,-18.89,3030,3053
hsa-miR-107,KLF6,-18.89,3032,3055
hsa-miR-107,KLF6,-18.89,3156,3179
hsa-miR-107,QKI,-18.03,2609,2632
hsa-miR-107,QKI,-20.32,14466,14488
hsa-miR-107,QKI,-18.03,1662,1685
hsa-miR-107,QKI,-20.32,13519,13541
hsa-miR-107,QKI,-20.32,12240,12262
hsa-miR-107,QKI,-20.32,7567,7589
hsa-miR-107,QKI,-20.32,7543,7565
hsa-miR-107,PTEN,-14.91,3310,3332
hsa-miR-107,PTEN,-16.57,3574,3595
hsa-miR-107,PTEN,-14.91,3424,3446
hsa-miR-107,PTEN,-16.57,3688,3709
hsa-miR-192-5p,RB1,-17.39,4522,4542
hsa-miR-148a-3p,KLF6,-17.25,2202,2224
hsa-miR-148a-3p,KLF6,-13.22,3601,3622
hsa-miR-148a-3p,KLF6,-17.25,2204,2226
hsa-miR-148a-3p,KLF6,-13.22,3603,3624
hsa-miR-148a-3p,KLF6,-17.25,2328,2350
hsa-miR-148a-3p,KLF6,-13.22,3727,3748
hsa-miR-148a-3p,QKI,-17.97,8691,8714
hsa-miR-148a-3p,QKI,-23.97,9363,9381
hsa-miR-148a-3p,QKI,-16.87,8069,8092
hsa-miR-148a-3p,QKI,-21.19,12836,12857
